bench_name, latency_mean, latency_std, latency_conf_interval_u, latency_conf_interval_l, latency_in_rate, latency_q1, latency_q2, latency_q3, latency_top5, latency_bottom5, latency_l50, latency_l75, latency_l90, latency_l99
r_mysql_long_1200M_4c_64t_30s,150.314,22.537,127.777,172.851,74.86,136.489,148.864,163.031,201.467,101.343,148.864,163.031,178.342,208.762
r_mysql_long_120M_4c_64t_30s,147.971,24.6,123.371,172.571,71.99,132.285,147.25,163.359,199.995,93.398,147.25,163.359,178.737,207.081
r_mysql_long_12M_4c_64t_30s,154.604,24.426,130.178,179.03,73.95,139.881,154.359,169.698,205.983,97.533,154.359,169.698,183.798,213.129
r_mysql_long_1M_4c_64t_30s,152.452,23.681,128.771,176.133,72.96,138.014,152.397,167.394,201.657,98.793,152.397,167.394,180.586,206.873
r_mysql_long_4200M_4c_64t_30s,162.141,26.489,135.652,188.63,73.03,145.441,161.057,177.593,222.48,107.28,161.057,177.593,194.05,231.471
r_mysql_short_1200M_4c_64t_30s,2.214,1.174,1.04,3.388,92.8,1.757,1.995,2.342,5.764,1.139,1.995,2.342,2.92,6.866
r_mysql_short_120M_4c_64t_30s,1.991,1.01,0.981,3.001,94.55,1.636,1.841,2.093,4.834,1.106,1.841,2.093,2.482,5.587
r_mysql_short_12M_4c_64t_30s,2.189,1.239,0.95,3.428,93.24,1.715,1.953,2.286,6.089,1.086,1.953,2.286,2.89,7.43
r_mysql_short_1M_4c_64t_30s,2.215,1.354,0.861,3.569,93.66,1.713,1.956,2.293,6.517,1.074,1.956,2.293,2.919,8.093
r_mysql_short_4200M_4c_64t_30s,2.2,1.193,1.007,3.393,92.52,1.726,1.97,2.318,5.95,1.09,1.97,2.318,2.929,7.207
r_oracle_long_1200M_4c_64t_30s,153.131,87.022,66.109,240.153,94.41,120.223,143.942,167.842,393.634,63.989,143.942,167.842,195.176,496.778
r_oracle_long_120M_4c_64t_30s,121.014,96.614,24.4,217.628,92.49,67.187,110.457,153.389,353.742,30.082,110.457,153.389,196.461,360.056
r_oracle_long_12M_4c_64t_30s,106.543,97.603,8.94,204.146,90.61,55.989,77.662,117.576,437.157,25.352,77.662,117.576,197.418,535.787
r_oracle_long_1M_4c_64t_30s,107.758,96.817,10.941,204.575,90.94,57.904,80.443,120.908,427.667,27.536,80.443,120.908,194.901,511.645
r_oracle_long_4200M_4c_64t_30s,147.474,63.951,83.523,211.425,92.04,120.844,142.028,163.167,316.727,72.019,142.028,163.167,185.284,385.521
r_oracle_short_1200M_4c_64t_30s,6.7,17.5,-10.8,24.2,97.63,3.582,4.488,5.953,36.676,1.666,4.488,5.953,11.671,31.089
r_oracle_short_120M_4c_64t_30s,2.944,2.682,0.262,5.626,91.47,1.506,2.46,3.802,10.061,0.372,2.46,3.802,5.351,11.181
r_oracle_short_12M_4c_64t_30s,2.308,8.248,-5.94,10.556,98.85,1.026,1.513,2.167,15.827,0.438,1.513,2.167,3.154,12.223
r_oracle_short_1M_4c_64t_30s,2.272,7.898,-5.626,10.17,98.85,1.027,1.52,2.128,15.498,0.437,1.52,2.128,3.035,11.871
r_oracle_short_4200M_4c_64t_30s,5.819,19.671,-13.852,25.49,98.49,2.898,3.568,4.719,35.493,1.727,3.568,4.719,10.234,28.074
r_qdata_long_1200M_4c_64t_30s,170.067,85.106,84.961,255.173,72.67,109.877,158.271,215.762,397.887,38.417,158.271,215.762,275.198,439.753
r_qdata_long_120M_4c_64t_30s,118.873,37.541,81.332,156.414,80.43,96.606,114.256,134.107,223.946,62.9,114.256,134.107,156.84,250.484
r_qdata_long_12M_4c_64t_30s,113.985,29.275,84.71,143.26,71.9,94.656,111.016,130.143,188.107,63.518,111.016,130.143,150.239,201.517
r_qdata_long_1M_4c_64t_30s,112.823,28.378,84.445,141.201,70.9,92.885,109.769,128.983,183.223,65.269,109.769,128.983,149.159,194.18
r_qdata_long_4200M_4c_64t_30s,178.853,88.617,90.236,267.47,72.44,113.713,165.279,228.145,416.083,47.887,165.279,228.145,288.871,464.638
r_qdata_short_1200M_4c_64t_30s,75.945,67.272,8.673,143.217,96.59,45.2,64.411,87.938,290.775,23.602,64.411,87.938,107.171,458.359
r_qdata_short_120M_4c_64t_30s,28.659,11.601,17.058,40.26,75.25,20.92,26.821,34.09,59.908,11.513,26.821,34.09,42.978,64.465
r_qdata_short_12M_4c_64t_30s,27.507,10.017,17.49,37.524,75.33,20.746,25.78,32.257,54.75,12.67,25.78,32.257,39.968,58.977
r_qdata_short_1M_4c_64t_30s,28.116,10.587,17.529,38.703,74.94,20.974,26.437,33.109,56.806,12.339,26.437,33.109,41.212,61.082
r_qdata_short_4200M_4c_64t_30s,82.093,69.794,12.299,151.887,96.47,46.471,69.996,97.098,309.789,28.414,69.996,97.098,116.122,464.191
