bench_name, tps_mean, tps_std, tps_conf_interval_u, tps_conf_interval_l, tps_in_rate, tps_l99
r_mysql_long_1200M_4c_64t_30s,130.87,6.66,124.21,137.53,89.16,138.0
r_mysql_long_120M_4c_64t_30s,132.57,3.28,129.29,135.85,63.41,139.0
r_mysql_long_12M_4c_64t_30s,126.46,5.41,121.05,131.87,73.75,133.0
r_mysql_long_1M_4c_64t_30s,128.71,3.51,125.2,132.22,78.75,133.0
r_mysql_long_4200M_4c_64t_30s,121.58,5.46,116.12,127.04,70.37,131.2
r_mysql_short_1200M_4c_64t_30s,8848.15,584.57,8263.58,9432.72,87.8,9427.57
r_mysql_short_120M_4c_64t_30s,9875.01,418.86,9456.15,10293.87,90.24,10209.47
r_mysql_short_12M_4c_64t_30s,8984.18,236.39,8747.79,9220.57,81.71,9322.76
r_mysql_short_1M_4c_64t_30s,8881.16,295.34,8585.82,9176.5,86.59,9209.87
r_mysql_short_4200M_4c_64t_30s,8915.83,223.75,8692.08,9139.58,73.17,9236.52
r_oracle_long_1200M_4c_64t_30s,463.87,52.51,411.36,516.38,79.27,518.57
r_oracle_long_120M_4c_64t_30s,584.45,32.38,552.07,616.83,86.59,616.0
r_oracle_long_12M_4c_64t_30s,649.88,42.12,607.76,692.0,80.49,697.19
r_oracle_long_1M_4c_64t_30s,641.18,50.43,590.75,691.61,79.27,710.71
r_oracle_long_4200M_4c_64t_30s,477.3,33.62,443.68,510.92,84.15,511.38
r_oracle_short_1200M_4c_64t_30s,7424.98,1714.27,5710.71,9139.25,84.15,10904.36
r_oracle_short_120M_4c_64t_30s,17011.88,640.79,16371.09,17652.67,89.02,17711.38
r_oracle_short_12M_4c_64t_30s,21647.95,1321.85,20326.1,22969.8,81.71,22960.58
r_oracle_short_1M_4c_64t_30s,22069.91,1012.65,21057.26,23082.56,87.8,23111.27
r_oracle_short_4200M_4c_64t_30s,6970.4,1683.57,5286.83,8653.97,82.93,8215.61
r_qdata_long_1200M_4c_64t_30s,2301.89,57.24,2244.65,2359.13,70.73,2395.19
r_qdata_long_120M_4c_64t_30s,3286.2,249.15,3037.05,3535.35,91.36,3449.6
r_qdata_long_12M_4c_64t_30s,3427.41,165.72,3261.69,3593.13,83.95,3589.8
r_qdata_long_1M_4c_64t_30s,3465.0,113.11,3351.89,3578.11,89.16,3583.7
r_qdata_long_4200M_4c_64t_30s,2191.15,93.49,2097.66,2284.64,75.61,2300.76
r_qdata_short_1200M_4c_64t_30s,5163.04,130.36,5032.68,5293.4,77.78,5318.0
r_qdata_short_120M_4c_64t_30s,13623.13,389.76,13233.37,14012.89,78.05,14202.94
r_qdata_short_12M_4c_64t_30s,14207.21,320.53,13886.68,14527.74,67.07,14837.85
r_qdata_short_1M_4c_64t_30s,13894.41,487.25,13407.16,14381.66,74.39,14539.57
r_qdata_short_4200M_4c_64t_30s,4770.7,155.37,4615.33,4926.07,92.68,4924.57
